drug_name,generic_name,dosage_form,shortage_reason,start_date,end_date,status,company,source_url,scraped_at
"Potassium Chloride Tablet, Extended Release","Potassium Chloride Tablet, Extended Release",,"An official website of the United States governmentHere's how you knowThe .gov means it's official.Federal government websites often end in .gov or .mil. Before sharing sensitive information, make sure you're on a federal government site.The site is secure.Thehttps://ensures that you are connecting to the official website and that any information you provide is encrypted and transmitted securely.U.S. Food and Drug AdministrationSearchMenuSearch FDASubmit searchFeaturedContact FDAFDA Guidance DocumentsRecalls, Market Withdrawals and Safety AlertsPress AnnouncementsWarning LettersAdvisory CommitteesEn EspañolProductsFoodDrugsMedical DevicesRadiation-Emitting ProductsVaccines, Blood, and BiologicsAnimal and VeterinaryCosmeticsTobacco ProductsTopicsAbout FDACombination ProductsRegulatory InformationSafetyEmergency PreparednessInternational ProgramsNews and EventsTraining and Continuing EducationInspections and ComplianceScience and ResearchInformation ForConsumersPatientsIndustryHealth ProfessionalsFederal, State and Local OfficialsHomeDrug DatabasesDrug ShortagesFDA Drug ShortagesShareTweetLinkedinEmailPrintCurrent and Resolved Drug Shortages and Discontinuations Reported to FDAReport a Drug Shortage|FAQ|Background Info|Get Email Alerts|Download Current Drug Shortages|Contact UsSearch by Generic Name or Active Ingredient:Start Over|Back to Previous ScreenPotassium Chloride Tablet, Extended ReleaseStatus:Currently in Shortage»Date first posted:No date available»Therapeutic Categories:Footer LinksFDA ArchiveAbout FDAAccessibilityVisitor InformationWebsite Policies / PrivacyNo FEAR ActVulnerability Disclosure PolicyFOIAHHS.govUSA.govContact FDAFollow FDA on FacebookFollow FDA on TwitterView FDA videos on YouTubeSubscribe to FDA RSS feedsFDA HomepageContact Number1-888-INFO-FDA (1-888-463-6332)Back toTop",,,Current,,"https://www.accessdata.fda.gov/scripts/drugshortages/dsp_ActiveIngredientDetails.cfm?AI=Potassium Chloride Tablet, Extended Release&st=c&tab=tabs-1",2026-03-05T23:40:51.712117
"Potassium Citrate Tablet, Extended Release","Potassium Citrate Tablet, Extended Release",,"An official website of the United States governmentHere's how you knowThe .gov means it's official.Federal government websites often end in .gov or .mil. Before sharing sensitive information, make sure you're on a federal government site.The site is secure.Thehttps://ensures that you are connecting to the official website and that any information you provide is encrypted and transmitted securely.U.S. Food and Drug AdministrationSearchMenuSearch FDASubmit searchFeaturedContact FDAFDA Guidance DocumentsRecalls, Market Withdrawals and Safety AlertsPress AnnouncementsWarning LettersAdvisory CommitteesEn EspañolProductsFoodDrugsMedical DevicesRadiation-Emitting ProductsVaccines, Blood, and BiologicsAnimal and VeterinaryCosmeticsTobacco ProductsTopicsAbout FDACombination ProductsRegulatory InformationSafetyEmergency PreparednessInternational ProgramsNews and EventsTraining and Continuing EducationInspections and ComplianceScience and ResearchInformation ForConsumersPatientsIndustryHealth ProfessionalsFederal, State and Local OfficialsHomeDrug DatabasesDrug ShortagesFDA Drug ShortagesShareTweetLinkedinEmailPrintCurrent and Resolved Drug Shortages and Discontinuations Reported to FDAReport a Drug Shortage|FAQ|Background Info|Get Email Alerts|Download Current Drug Shortages|Contact UsSearch by Generic Name or Active Ingredient:Start Over|Back to Previous ScreenPotassium Citrate Tablet, Extended ReleaseStatus:Currently in Shortage»Date first posted:No date available»Therapeutic Categories:Footer LinksFDA ArchiveAbout FDAAccessibilityVisitor InformationWebsite Policies / PrivacyNo FEAR ActVulnerability Disclosure PolicyFOIAHHS.govUSA.govContact FDAFollow FDA on FacebookFollow FDA on TwitterView FDA videos on YouTubeSubscribe to FDA RSS feedsFDA HomepageContact Number1-888-INFO-FDA (1-888-463-6332)Back toTop",,,Current,,"https://www.accessdata.fda.gov/scripts/drugshortages/dsp_ActiveIngredientDetails.cfm?AI=Potassium Citrate Tablet, Extended Release&st=c&tab=tabs-1",2026-03-05T23:40:53.794043
Pramlintide Acetate Injection,Pramlintide Acetate Injection,,"An official website of the United States governmentHere's how you knowThe .gov means it's official.Federal government websites often end in .gov or .mil. Before sharing sensitive information, make sure you're on a federal government site.The site is secure.Thehttps://ensures that you are connecting to the official website and that any information you provide is encrypted and transmitted securely.U.S. Food and Drug AdministrationSearchMenuSearch FDASubmit searchFeaturedContact FDAFDA Guidance DocumentsRecalls, Market Withdrawals and Safety AlertsPress AnnouncementsWarning LettersAdvisory CommitteesEn EspañolProductsFoodDrugsMedical DevicesRadiation-Emitting ProductsVaccines, Blood, and BiologicsAnimal and VeterinaryCosmeticsTobacco ProductsTopicsAbout FDACombination ProductsRegulatory InformationSafetyEmergency PreparednessInternational ProgramsNews and EventsTraining and Continuing EducationInspections and ComplianceScience and ResearchInformation ForConsumersPatientsIndustryHealth ProfessionalsFederal, State and Local OfficialsHomeDrug DatabasesDrug ShortagesFDA Drug ShortagesShareTweetLinkedinEmailPrintCurrent and Resolved Drug Shortages and Discontinuations Reported to FDAReport a Drug Shortage|FAQ|Background Info|Get Email Alerts|Download Current Drug Shortages|Contact UsSearch by Generic Name or Active Ingredient:Start Over|Back to Previous ScreenPramlintide Acetate InjectionStatus:Currently in Shortage»Date first posted:No date available»Therapeutic Categories:Footer LinksFDA ArchiveAbout FDAAccessibilityVisitor InformationWebsite Policies / PrivacyNo FEAR ActVulnerability Disclosure PolicyFOIAHHS.govUSA.govContact FDAFollow FDA on FacebookFollow FDA on TwitterView FDA videos on YouTubeSubscribe to FDA RSS feedsFDA HomepageContact Number1-888-INFO-FDA (1-888-463-6332)Back toTop",,,Current,,https://www.accessdata.fda.gov/scripts/drugshortages/dsp_ActiveIngredientDetails.cfm?AI=Pramlintide Acetate Injection&st=c&tab=tabs-1,2026-03-05T23:40:56.199313
Pravastatin Sodium Tablet,Pravastatin Sodium Tablet,,"An official website of the United States governmentHere's how you knowThe .gov means it's official.Federal government websites often end in .gov or .mil. Before sharing sensitive information, make sure you're on a federal government site.The site is secure.Thehttps://ensures that you are connecting to the official website and that any information you provide is encrypted and transmitted securely.U.S. Food and Drug AdministrationSearchMenuSearch FDASubmit searchFeaturedContact FDAFDA Guidance DocumentsRecalls, Market Withdrawals and Safety AlertsPress AnnouncementsWarning LettersAdvisory CommitteesEn EspañolProductsFoodDrugsMedical DevicesRadiation-Emitting ProductsVaccines, Blood, and BiologicsAnimal and VeterinaryCosmeticsTobacco ProductsTopicsAbout FDACombination ProductsRegulatory InformationSafetyEmergency PreparednessInternational ProgramsNews and EventsTraining and Continuing EducationInspections and ComplianceScience and ResearchInformation ForConsumersPatientsIndustryHealth ProfessionalsFederal, State and Local OfficialsHomeDrug DatabasesDrug ShortagesFDA Drug ShortagesShareTweetLinkedinEmailPrintCurrent and Resolved Drug Shortages and Discontinuations Reported to FDAReport a Drug Shortage|FAQ|Background Info|Get Email Alerts|Download Current Drug Shortages|Contact UsSearch by Generic Name or Active Ingredient:Start Over|Back to Previous ScreenPravastatin Sodium TabletStatus:Currently in Shortage»Date first posted:No date available»Therapeutic Categories:Footer LinksFDA ArchiveAbout FDAAccessibilityVisitor InformationWebsite Policies / PrivacyNo FEAR ActVulnerability Disclosure PolicyFOIAHHS.govUSA.govContact FDAFollow FDA on FacebookFollow FDA on TwitterView FDA videos on YouTubeSubscribe to FDA RSS feedsFDA HomepageContact Number1-888-INFO-FDA (1-888-463-6332)Back toTop",,,Current,,https://www.accessdata.fda.gov/scripts/drugshortages/dsp_ActiveIngredientDetails.cfm?AI=Pravastatin Sodium Tablet&st=c&tab=tabs-1,2026-03-05T23:40:58.943668
Prazosin Hydrochloride Capsule,Prazosin Hydrochloride Capsule,,"An official website of the United States governmentHere's how you knowThe .gov means it's official.Federal government websites often end in .gov or .mil. Before sharing sensitive information, make sure you're on a federal government site.The site is secure.Thehttps://ensures that you are connecting to the official website and that any information you provide is encrypted and transmitted securely.U.S. Food and Drug AdministrationSearchMenuSearch FDASubmit searchFeaturedContact FDAFDA Guidance DocumentsRecalls, Market Withdrawals and Safety AlertsPress AnnouncementsWarning LettersAdvisory CommitteesEn EspañolProductsFoodDrugsMedical DevicesRadiation-Emitting ProductsVaccines, Blood, and BiologicsAnimal and VeterinaryCosmeticsTobacco ProductsTopicsAbout FDACombination ProductsRegulatory InformationSafetyEmergency PreparednessInternational ProgramsNews and EventsTraining and Continuing EducationInspections and ComplianceScience and ResearchInformation ForConsumersPatientsIndustryHealth ProfessionalsFederal, State and Local OfficialsHomeDrug DatabasesDrug ShortagesFDA Drug ShortagesShareTweetLinkedinEmailPrintCurrent and Resolved Drug Shortages and Discontinuations Reported to FDAReport a Drug Shortage|FAQ|Background Info|Get Email Alerts|Download Current Drug Shortages|Contact UsSearch by Generic Name or Active Ingredient:Start Over|Back to Previous ScreenPrazosin Hydrochloride CapsuleStatus:Currently in Shortage»Date first posted:No date available»Therapeutic Categories:Footer LinksFDA ArchiveAbout FDAAccessibilityVisitor InformationWebsite Policies / PrivacyNo FEAR ActVulnerability Disclosure PolicyFOIAHHS.govUSA.govContact FDAFollow FDA on FacebookFollow FDA on TwitterView FDA videos on YouTubeSubscribe to FDA RSS feedsFDA HomepageContact Number1-888-INFO-FDA (1-888-463-6332)Back toTop",,,Current,,https://www.accessdata.fda.gov/scripts/drugshortages/dsp_ActiveIngredientDetails.cfm?AI=Prazosin Hydrochloride Capsule&st=c&tab=tabs-1,2026-03-05T23:41:01.938732
"Propafenone Hydrochloride Capsule, Extended Release","Propafenone Hydrochloride Capsule, Extended Release",,"An official website of the United States governmentHere's how you knowThe .gov means it's official.Federal government websites often end in .gov or .mil. Before sharing sensitive information, make sure you're on a federal government site.The site is secure.Thehttps://ensures that you are connecting to the official website and that any information you provide is encrypted and transmitted securely.U.S. Food and Drug AdministrationSearchMenuSearch FDASubmit searchFeaturedContact FDAFDA Guidance DocumentsRecalls, Market Withdrawals and Safety AlertsPress AnnouncementsWarning LettersAdvisory CommitteesEn EspañolProductsFoodDrugsMedical DevicesRadiation-Emitting ProductsVaccines, Blood, and BiologicsAnimal and VeterinaryCosmeticsTobacco ProductsTopicsAbout FDACombination ProductsRegulatory InformationSafetyEmergency PreparednessInternational ProgramsNews and EventsTraining and Continuing EducationInspections and ComplianceScience and ResearchInformation ForConsumersPatientsIndustryHealth ProfessionalsFederal, State and Local OfficialsHomeDrug DatabasesDrug ShortagesFDA Drug ShortagesShareTweetLinkedinEmailPrintCurrent and Resolved Drug Shortages and Discontinuations Reported to FDAReport a Drug Shortage|FAQ|Background Info|Get Email Alerts|Download Current Drug Shortages|Contact UsSearch by Generic Name or Active Ingredient:Start Over|Back to Previous ScreenPropafenone Hydrochloride Capsule, Extended ReleaseStatus:Currently in Shortage»Date first posted:No date available»Therapeutic Categories:Footer LinksFDA ArchiveAbout FDAAccessibilityVisitor InformationWebsite Policies / PrivacyNo FEAR ActVulnerability Disclosure PolicyFOIAHHS.govUSA.govContact FDAFollow FDA on FacebookFollow FDA on TwitterView FDA videos on YouTubeSubscribe to FDA RSS feedsFDA HomepageContact Number1-888-INFO-FDA (1-888-463-6332)Back toTop",,,Current,,"https://www.accessdata.fda.gov/scripts/drugshortages/dsp_ActiveIngredientDetails.cfm?AI=Propafenone Hydrochloride Capsule, Extended Release&st=c&tab=tabs-1",2026-03-05T23:41:04.895876
Quinapril Hydrochloride Tablet,Quinapril Hydrochloride Tablet,Availability and Estimated Shortage Duration,"An official website of the United States governmentHere's how you knowThe .gov means it's official.Federal government websites often end in .gov or .mil. Before sharing sensitive information, make sure you're on a federal government site.The site is secure.Thehttps://ensures that you are connecting to the official website and that any information you provide is encrypted and transmitted securely.U.S. Food and Drug AdministrationSearchMenuSearch FDASubmit searchFeaturedContact FDAFDA Guidance DocumentsRecalls, Market Withdrawals and Safety AlertsPress AnnouncementsWarning LettersAdvisory CommitteesEn EspañolProductsFoodDrugsMedical DevicesRadiation-Emitting ProductsVaccines, Blood, and BiologicsAnimal and VeterinaryCosmeticsTobacco ProductsTopicsAbout FDACombination ProductsRegulatory InformationSafetyEmergency PreparednessInternational ProgramsNews and EventsTraining and Continuing EducationInspections and ComplianceScience and ResearchInformation ForConsumersPatientsIndustryHealth ProfessionalsFederal, State and Local OfficialsHomeDrug DatabasesDrug ShortagesFDA Drug ShortagesShareTweetLinkedinEmailPrintCurrent and Resolved Drug Shortages and Discontinuations Reported to FDAReport a Drug Shortage|FAQ|Background Info|Get Email Alerts|Download Current Drug Shortages|Contact UsSearch by Generic Name or Active Ingredient:Start Over|Back to Previous ScreenQuinapril Hydrochloride TabletStatus:Currently in Shortage»Date first posted:01/19/2023»Therapeutic Categories:CardiovascularExpand allAurobindo Pharma USA (Reverified 10/15/2025)Company Contact Information:866-850-2876PresentationAvailability and Estimated Shortage DurationRelated InformationShortage Reason (per FDASIA)Quinapril Hydrochloride, Tablet, 5 mg (NDC 65862-617-90)UnavailableDiscontinuation of the manufacture of the drugDiscontinuation of the manufacture of the drugQuinapril Hydrochloride, Tablet, 10 mg (NDC 65862-618-90)UnavailableDiscontinuation of the manufacture of the drugDiscontinuation of the manufact",,,Current,,https://www.accessdata.fda.gov/scripts/drugshortages/dsp_ActiveIngredientDetails.cfm?AI=Quinapril Hydrochloride Tablet&st=c&tab=tabs-1,2026-03-05T23:41:07.161395
Riboflavin 5-phosphate  Ophthalmic Solution,Riboflavin 5-phosphate  Ophthalmic Solution,,"An official website of the United States governmentHere's how you knowThe .gov means it's official.Federal government websites often end in .gov or .mil. Before sharing sensitive information, make sure you're on a federal government site.The site is secure.Thehttps://ensures that you are connecting to the official website and that any information you provide is encrypted and transmitted securely.U.S. Food and Drug AdministrationSearchMenuSearch FDASubmit searchFeaturedContact FDAFDA Guidance DocumentsRecalls, Market Withdrawals and Safety AlertsPress AnnouncementsWarning LettersAdvisory CommitteesEn EspañolProductsFoodDrugsMedical DevicesRadiation-Emitting ProductsVaccines, Blood, and BiologicsAnimal and VeterinaryCosmeticsTobacco ProductsTopicsAbout FDACombination ProductsRegulatory InformationSafetyEmergency PreparednessInternational ProgramsNews and EventsTraining and Continuing EducationInspections and ComplianceScience and ResearchInformation ForConsumersPatientsIndustryHealth ProfessionalsFederal, State and Local OfficialsHomeDrug DatabasesDrug ShortagesFDA Drug ShortagesShareTweetLinkedinEmailPrintCurrent and Resolved Drug Shortages and Discontinuations Reported to FDAReport a Drug Shortage|FAQ|Background Info|Get Email Alerts|Download Current Drug Shortages|Contact UsSearch by Generic Name or Active Ingredient:Start Over|Back to Previous ScreenRiboflavin 5-phosphate  Ophthalmic SolutionStatus:Currently in Shortage»Date first posted:No date available»Therapeutic Categories:Footer LinksFDA ArchiveAbout FDAAccessibilityVisitor InformationWebsite Policies / PrivacyNo FEAR ActVulnerability Disclosure PolicyFOIAHHS.govUSA.govContact FDAFollow FDA on FacebookFollow FDA on TwitterView FDA videos on YouTubeSubscribe to FDA RSS feedsFDA HomepageContact Number1-888-INFO-FDA (1-888-463-6332)Back toTop",,,Current,,https://www.accessdata.fda.gov/scripts/drugshortages/dsp_ActiveIngredientDetails.cfm?AI=Riboflavin 5-phosphate  Ophthalmic Solution&st=c&tab=tabs-1,2026-03-05T23:41:10.345439
Scopolamine Transdermal System,Scopolamine Transdermal System,,"An official website of the United States governmentHere's how you knowThe .gov means it's official.Federal government websites often end in .gov or .mil. Before sharing sensitive information, make sure you're on a federal government site.The site is secure.Thehttps://ensures that you are connecting to the official website and that any information you provide is encrypted and transmitted securely.U.S. Food and Drug AdministrationSearchMenuSearch FDASubmit searchFeaturedContact FDAFDA Guidance DocumentsRecalls, Market Withdrawals and Safety AlertsPress AnnouncementsWarning LettersAdvisory CommitteesEn EspañolProductsFoodDrugsMedical DevicesRadiation-Emitting ProductsVaccines, Blood, and BiologicsAnimal and VeterinaryCosmeticsTobacco ProductsTopicsAbout FDACombination ProductsRegulatory InformationSafetyEmergency PreparednessInternational ProgramsNews and EventsTraining and Continuing EducationInspections and ComplianceScience and ResearchInformation ForConsumersPatientsIndustryHealth ProfessionalsFederal, State and Local OfficialsHomeDrug DatabasesDrug ShortagesFDA Drug ShortagesShareTweetLinkedinEmailPrintCurrent and Resolved Drug Shortages and Discontinuations Reported to FDAReport a Drug Shortage|FAQ|Background Info|Get Email Alerts|Download Current Drug Shortages|Contact UsSearch by Generic Name or Active Ingredient:Start Over|Back to Previous ScreenScopolamine Transdermal SystemStatus:Currently in Shortage»Date first posted:No date available»Therapeutic Categories:Footer LinksFDA ArchiveAbout FDAAccessibilityVisitor InformationWebsite Policies / PrivacyNo FEAR ActVulnerability Disclosure PolicyFOIAHHS.govUSA.govContact FDAFollow FDA on FacebookFollow FDA on TwitterView FDA videos on YouTubeSubscribe to FDA RSS feedsFDA HomepageContact Number1-888-INFO-FDA (1-888-463-6332)Back toTop",,,Current,,https://www.accessdata.fda.gov/scripts/drugshortages/dsp_ActiveIngredientDetails.cfm?AI=Scopolamine Transdermal System&st=c&tab=tabs-1,2026-03-05T23:41:13.296816
Sodium Bicarbonate Injection,Sodium Bicarbonate Injection,Availability and Estimated Shortage Duration,"An official website of the United States governmentHere's how you knowThe .gov means it's official.Federal government websites often end in .gov or .mil. Before sharing sensitive information, make sure you're on a federal government site.The site is secure.Thehttps://ensures that you are connecting to the official website and that any information you provide is encrypted and transmitted securely.U.S. Food and Drug AdministrationSearchMenuSearch FDASubmit searchFeaturedContact FDAFDA Guidance DocumentsRecalls, Market Withdrawals and Safety AlertsPress AnnouncementsWarning LettersAdvisory CommitteesEn EspañolProductsFoodDrugsMedical DevicesRadiation-Emitting ProductsVaccines, Blood, and BiologicsAnimal and VeterinaryCosmeticsTobacco ProductsTopicsAbout FDACombination ProductsRegulatory InformationSafetyEmergency PreparednessInternational ProgramsNews and EventsTraining and Continuing EducationInspections and ComplianceScience and ResearchInformation ForConsumersPatientsIndustryHealth ProfessionalsFederal, State and Local OfficialsHomeDrug DatabasesDrug ShortagesFDA Drug ShortagesShareTweetLinkedinEmailPrintCurrent and Resolved Drug Shortages and Discontinuations Reported to FDAReport a Drug Shortage|FAQ|Background Info|Get Email Alerts|Download Current Drug Shortages|Contact UsSearch by Generic Name or Active Ingredient:Start Over|Back to Previous ScreenSodium Bicarbonate InjectionStatus:Currently in Shortage»Date first posted:03/01/2017»Therapeutic Categories:Endocrinology/Metabolism;  Gastroenterology;  PediatricExpand allAmphastar Pharmaceuticals, Inc. (Reverified 03/03/2026)Company Contact Information:800-423-4136PresentationAvailability and Estimated Shortage DurationRelated InformationShortage Reason (per FDASIA)Sodium Bicarbonate, Injection, 84 mg/1 mL (NDC 76329-3352-1)AvailableExela Pharma Sciences, LLC (Revised 03/02/2026)Company Contact Information:828-758-5474 ext. 154PresentationAvailability and Estimated Shortage DurationRelated InformationShortage Reaso",,,Current,,https://www.accessdata.fda.gov/scripts/drugshortages/dsp_ActiveIngredientDetails.cfm?AI=Sodium Bicarbonate Injection&st=c&tab=tabs-1,2026-03-05T23:41:15.769637
Sodium Chloride 0.9% Injection,Sodium Chloride 0.9% Injection,,"An official website of the United States governmentHere's how you knowThe .gov means it's official.Federal government websites often end in .gov or .mil. Before sharing sensitive information, make sure you're on a federal government site.The site is secure.Thehttps://ensures that you are connecting to the official website and that any information you provide is encrypted and transmitted securely.U.S. Food and Drug AdministrationSearchMenuSearch FDASubmit searchFeaturedContact FDAFDA Guidance DocumentsRecalls, Market Withdrawals and Safety AlertsPress AnnouncementsWarning LettersAdvisory CommitteesEn EspañolProductsFoodDrugsMedical DevicesRadiation-Emitting ProductsVaccines, Blood, and BiologicsAnimal and VeterinaryCosmeticsTobacco ProductsTopicsAbout FDACombination ProductsRegulatory InformationSafetyEmergency PreparednessInternational ProgramsNews and EventsTraining and Continuing EducationInspections and ComplianceScience and ResearchInformation ForConsumersPatientsIndustryHealth ProfessionalsFederal, State and Local OfficialsHomeDrug DatabasesDrug ShortagesFDA Drug ShortagesShareTweetLinkedinEmailPrintCurrent and Resolved Drug Shortages and Discontinuations Reported to FDAReport a Drug Shortage|FAQ|Background Info|Get Email Alerts|Download Current Drug Shortages|Contact UsSearch by Generic Name or Active Ingredient:Start Over|Back to Previous ScreenSodium Chloride 0.9% InjectionStatus:Currently in Shortage»Date first posted:No date available»Therapeutic Categories:Footer LinksFDA ArchiveAbout FDAAccessibilityVisitor InformationWebsite Policies / PrivacyNo FEAR ActVulnerability Disclosure PolicyFOIAHHS.govUSA.govContact FDAFollow FDA on FacebookFollow FDA on TwitterView FDA videos on YouTubeSubscribe to FDA RSS feedsFDA HomepageContact Number1-888-INFO-FDA (1-888-463-6332)Back toTop",,,Current,,https://www.accessdata.fda.gov/scripts/drugshortages/dsp_ActiveIngredientDetails.cfm?AI=Sodium Chloride 0.9% Injection&st=c&tab=tabs-1,2026-03-05T23:41:18.811965
Sodium Oxybate Solution,Sodium Oxybate Solution,,"An official website of the United States governmentHere's how you knowThe .gov means it's official.Federal government websites often end in .gov or .mil. Before sharing sensitive information, make sure you're on a federal government site.The site is secure.Thehttps://ensures that you are connecting to the official website and that any information you provide is encrypted and transmitted securely.U.S. Food and Drug AdministrationSearchMenuSearch FDASubmit searchFeaturedContact FDAFDA Guidance DocumentsRecalls, Market Withdrawals and Safety AlertsPress AnnouncementsWarning LettersAdvisory CommitteesEn EspañolProductsFoodDrugsMedical DevicesRadiation-Emitting ProductsVaccines, Blood, and BiologicsAnimal and VeterinaryCosmeticsTobacco ProductsTopicsAbout FDACombination ProductsRegulatory InformationSafetyEmergency PreparednessInternational ProgramsNews and EventsTraining and Continuing EducationInspections and ComplianceScience and ResearchInformation ForConsumersPatientsIndustryHealth ProfessionalsFederal, State and Local OfficialsHomeDrug DatabasesDrug ShortagesFDA Drug ShortagesShareTweetLinkedinEmailPrintCurrent and Resolved Drug Shortages and Discontinuations Reported to FDAReport a Drug Shortage|FAQ|Background Info|Get Email Alerts|Download Current Drug Shortages|Contact UsSearch by Generic Name or Active Ingredient:Start Over|Back to Previous ScreenSodium Oxybate SolutionStatus:Currently in Shortage»Date first posted:No date available»Therapeutic Categories:Footer LinksFDA ArchiveAbout FDAAccessibilityVisitor InformationWebsite Policies / PrivacyNo FEAR ActVulnerability Disclosure PolicyFOIAHHS.govUSA.govContact FDAFollow FDA on FacebookFollow FDA on TwitterView FDA videos on YouTubeSubscribe to FDA RSS feedsFDA HomepageContact Number1-888-INFO-FDA (1-888-463-6332)Back toTop",,,Current,,https://www.accessdata.fda.gov/scripts/drugshortages/dsp_ActiveIngredientDetails.cfm?AI=Sodium Oxybate Solution&st=c&tab=tabs-1,2026-03-05T23:41:21.897687
Somatropin Injection,Somatropin Injection,,"An official website of the United States governmentHere's how you knowThe .gov means it's official.Federal government websites often end in .gov or .mil. Before sharing sensitive information, make sure you're on a federal government site.The site is secure.Thehttps://ensures that you are connecting to the official website and that any information you provide is encrypted and transmitted securely.U.S. Food and Drug AdministrationSearchMenuSearch FDASubmit searchFeaturedContact FDAFDA Guidance DocumentsRecalls, Market Withdrawals and Safety AlertsPress AnnouncementsWarning LettersAdvisory CommitteesEn EspañolProductsFoodDrugsMedical DevicesRadiation-Emitting ProductsVaccines, Blood, and BiologicsAnimal and VeterinaryCosmeticsTobacco ProductsTopicsAbout FDACombination ProductsRegulatory InformationSafetyEmergency PreparednessInternational ProgramsNews and EventsTraining and Continuing EducationInspections and ComplianceScience and ResearchInformation ForConsumersPatientsIndustryHealth ProfessionalsFederal, State and Local OfficialsHomeDrug DatabasesDrug ShortagesFDA Drug ShortagesShareTweetLinkedinEmailPrintCurrent and Resolved Drug Shortages and Discontinuations Reported to FDAReport a Drug Shortage|FAQ|Background Info|Get Email Alerts|Download Current Drug Shortages|Contact UsSearch by Generic Name or Active Ingredient:Start Over|Back to Previous ScreenSomatropin InjectionStatus:Currently in Shortage»Date first posted:No date available»Therapeutic Categories:Footer LinksFDA ArchiveAbout FDAAccessibilityVisitor InformationWebsite Policies / PrivacyNo FEAR ActVulnerability Disclosure PolicyFOIAHHS.govUSA.govContact FDAFollow FDA on FacebookFollow FDA on TwitterView FDA videos on YouTubeSubscribe to FDA RSS feedsFDA HomepageContact Number1-888-INFO-FDA (1-888-463-6332)Back toTop",,,Current,,https://www.accessdata.fda.gov/scripts/drugshortages/dsp_ActiveIngredientDetails.cfm?AI=Somatropin Injection&st=c&tab=tabs-1,2026-03-05T23:41:24.540920
Spironolactone Tablet,Spironolactone Tablet,,"An official website of the United States governmentHere's how you knowThe .gov means it's official.Federal government websites often end in .gov or .mil. Before sharing sensitive information, make sure you're on a federal government site.The site is secure.Thehttps://ensures that you are connecting to the official website and that any information you provide is encrypted and transmitted securely.U.S. Food and Drug AdministrationSearchMenuSearch FDASubmit searchFeaturedContact FDAFDA Guidance DocumentsRecalls, Market Withdrawals and Safety AlertsPress AnnouncementsWarning LettersAdvisory CommitteesEn EspañolProductsFoodDrugsMedical DevicesRadiation-Emitting ProductsVaccines, Blood, and BiologicsAnimal and VeterinaryCosmeticsTobacco ProductsTopicsAbout FDACombination ProductsRegulatory InformationSafetyEmergency PreparednessInternational ProgramsNews and EventsTraining and Continuing EducationInspections and ComplianceScience and ResearchInformation ForConsumersPatientsIndustryHealth ProfessionalsFederal, State and Local OfficialsHomeDrug DatabasesDrug ShortagesFDA Drug ShortagesShareTweetLinkedinEmailPrintCurrent and Resolved Drug Shortages and Discontinuations Reported to FDAReport a Drug Shortage|FAQ|Background Info|Get Email Alerts|Download Current Drug Shortages|Contact UsSearch by Generic Name or Active Ingredient:Start Over|Back to Previous ScreenSpironolactone TabletStatus:Currently in Shortage»Date first posted:No date available»Therapeutic Categories:Footer LinksFDA ArchiveAbout FDAAccessibilityVisitor InformationWebsite Policies / PrivacyNo FEAR ActVulnerability Disclosure PolicyFOIAHHS.govUSA.govContact FDAFollow FDA on FacebookFollow FDA on TwitterView FDA videos on YouTubeSubscribe to FDA RSS feedsFDA HomepageContact Number1-888-INFO-FDA (1-888-463-6332)Back toTop",,,Current,,https://www.accessdata.fda.gov/scripts/drugshortages/dsp_ActiveIngredientDetails.cfm?AI=Spironolactone Tablet&st=c&tab=tabs-1,2026-03-05T23:41:27.223039
Sumatriptan Nasal Spray,Sumatriptan Nasal Spray,,"An official website of the United States governmentHere's how you knowThe .gov means it's official.Federal government websites often end in .gov or .mil. Before sharing sensitive information, make sure you're on a federal government site.The site is secure.Thehttps://ensures that you are connecting to the official website and that any information you provide is encrypted and transmitted securely.U.S. Food and Drug AdministrationSearchMenuSearch FDASubmit searchFeaturedContact FDAFDA Guidance DocumentsRecalls, Market Withdrawals and Safety AlertsPress AnnouncementsWarning LettersAdvisory CommitteesEn EspañolProductsFoodDrugsMedical DevicesRadiation-Emitting ProductsVaccines, Blood, and BiologicsAnimal and VeterinaryCosmeticsTobacco ProductsTopicsAbout FDACombination ProductsRegulatory InformationSafetyEmergency PreparednessInternational ProgramsNews and EventsTraining and Continuing EducationInspections and ComplianceScience and ResearchInformation ForConsumersPatientsIndustryHealth ProfessionalsFederal, State and Local OfficialsHomeDrug DatabasesDrug ShortagesFDA Drug ShortagesShareTweetLinkedinEmailPrintCurrent and Resolved Drug Shortages and Discontinuations Reported to FDAReport a Drug Shortage|FAQ|Background Info|Get Email Alerts|Download Current Drug Shortages|Contact UsSearch by Generic Name or Active Ingredient:Start Over|Back to Previous ScreenSumatriptan Nasal SprayStatus:Currently in Shortage»Date first posted:No date available»Therapeutic Categories:Footer LinksFDA ArchiveAbout FDAAccessibilityVisitor InformationWebsite Policies / PrivacyNo FEAR ActVulnerability Disclosure PolicyFOIAHHS.govUSA.govContact FDAFollow FDA on FacebookFollow FDA on TwitterView FDA videos on YouTubeSubscribe to FDA RSS feedsFDA HomepageContact Number1-888-INFO-FDA (1-888-463-6332)Back toTop",,,Current,,https://www.accessdata.fda.gov/scripts/drugshortages/dsp_ActiveIngredientDetails.cfm?AI=Sumatriptan Nasal Spray&st=c&tab=tabs-1,2026-03-05T23:41:29.690292
